Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1714858944,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1714858945,2,,Aggregated,0.000000,0.000000,2,2,2,2,2,2,3,4,18,18,18,501,0,2,1.964312375259066,1.5185000011115335,17.80690000305185,2843.395209580838
1714858946,3,,Aggregated,0.000000,0.000000,2,2,2,2,2,3,3,4,9,18,18,1397,0,2,2.1155010736656576,1.5185000011115335,17.80690000305185,2843.3965640658553
1714858947,4,,Aggregated,352.000000,0.000000,2,3,3,3,3,4,4,5,9,40,40,2364,0,2,2.506352030497953,1.5185000011115335,39.629400002013426,2843.4103214890015
1714858948,5,,Aggregated,567.000000,0.000000,3,3,4,4,4,4,5,5,9,40,40,3408,0,3,2.8977315141353652,1.5185000011115335,39.629400002013426,2843.407276995305
1714858949,6,,Aggregated,693.333333,0.000000,3,4,4,4,5,5,6,8,11,40,40,4413,0,3,3.3581339905444123,1.5185000011115335,39.629400002013426,2843.406526172672
1714858950,7,,Aggregated,781.250000,0.000000,4,4,5,5,6,7,7,9,12,40,40,5360,0,4,3.8714335821250234,1.5185000011115335,39.629400002013426,2843.3996268656715
1714858951,8,,Aggregated,821.000000,0.000000,4,5,6,6,7,8,8,10,17,40,40,6307,0,4,4.388602013661438,1.5185000011115335,39.629400002013426,2843.4008244807355
1714858952,9,,Aggregated,849.500000,0.000000,4,6,7,7,8,9,10,12,20,40,40,7237,0,4,4.915022108649416,1.5185000011115335,39.629400002013426,2843.401271244991
1714858953,10,,Aggregated,860.428571,0.000000,5,7,7,8,9,10,12,15,28,40,40,8123,0,5,5.46623258651167,1.5185000011115335,39.629400002013426,2843.401575772498
1714858954,11,,Aggregated,869.125000,0.000000,6,7,8,9,10,11,13,18,31,40,40,9087,0,6,5.9641678001793395,1.5185000011115335,39.629400002013426,2843.3999119621435
