Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,339,0,3100.0,3067.053993805332,2615.088899998227,4242.929899999581,13346.0,1.1341233554330017,0.0,3100,3100,3200,3200,3300,3500,3900,4000,4200,4200,4200
GET,/?url=https://luccabarroso.com.br/,349,0,250.0,262.1909389684706,223.64630000083707,1092.2935000016878,4725.0,1.1675783216699633,0.0,250,260,270,280,300,320,350,440,1100,1100,1100
GET,/?url=https://luccabarroso.com.br/pt/animations,349,0,240.0,249.6172094557384,219.2207000007329,785.1364999987709,4476.0,1.1675783216699633,0.0,240,240,250,260,280,310,360,420,790,790,790
GET,/?url=https://www.apple.com/br/,348,0,69,83.92797241386928,46.96469999908004,362.7976000025228,10855.0,1.1642328250462672,0.0,69,84,95,110,140,170,200,250,360,360,360
GET,/?url=https://www.baratocoletivo.com.br/,345,0,3000.0,3237.3385753623475,1800.5534000003536,6835.604099996999,237257.0,1.1541963351751787,0.0,3000,3400,3600,3900,4500,5000,5800,5800,6800,6800,6800
GET,/?url=https://www.bbc.com/portuguese,345,0,53,65.90510550725057,35.04389999943669,258.87089999741875,20245.0,1.1541963351751787,0.0,53,71,83,89,100,130,160,200,260,260,260
GET,/?url=https://www.cnnbrasil.com.br/,342,0,320.0,637.0378672514423,247.94509999992442,1668.5814000011305,43733.12865497076,1.1441598453040902,0.0,330,1000,1000,1100,1100,1200,1500,1500,1700,1700,1700
GET,/?url=https://www.fontshare.com/,348,0,160.0,168.9217442529392,140.46370000141906,341.95829999953276,3213.0,1.1642328250462672,0.0,160,170,180,180,190,210,240,280,340,340,340
GET,/?url=https://www.unifor.br/,348,0,260.0,266.50925057471807,232.77800000141724,457.9150999998092,34570.0,1.1642328250462672,0.0,260,270,280,280,300,330,360,380,460,460,460
GET,/?url=https://www.youtube.com/,342,0,480.0,498.3080008772193,434.21980000130134,1255.2246999985073,4477.0,1.1441598453040902,0.0,480,490,490,500,540,590,950,1100,1300,1300,1300
,Aggregated,3455,0,260.0,847.1770260781828,35.04389999943669,6835.604099996999,37623.01620839363,11.558690834870267,0.0,260,450,560,1500,3100,3300,4000,4500,5800,6800,6800
