Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,28781,0,91,82.55545595009802,1.545299994177185,394.7011999989627,2851.0,96.17524217107125,0.0,91,95,98,100,110,120,130,160,320,360,390
GET,/?url=https://luccabarroso.com.br/,28871,0,77,89.6906843268541,1.5247999981511384,432.95499999658205,2841.0,96.4759882117021,0.0,77,97,110,130,180,190,210,220,310,360,430
GET,/?url=https://luccabarroso.com.br/pt/animations,28868,0,94,87.06904538589399,1.5667000043322332,388.8220000008005,2867.0,96.46596334368107,0.0,94,100,110,110,120,130,140,170,310,380,390
GET,/?url=https://www.apple.com/br/,28849,0,92,83.69876720857913,1.5185000011115335,364.3746999950963,2835.0,96.40247251288123,0.0,92,95,99,100,120,130,140,170,310,330,360
GET,/?url=https://www.baratocoletivo.com.br/,28843,0,92,83.62552521928986,1.541099998576101,380.73919999442296,2853.0,96.38242277683916,0.0,92,95,99,100,110,120,140,160,310,370,380
GET,/?url=https://www.bbc.com/portuguese,28831,0,91,83.20001275364595,1.5399999974761158,386.89809999777935,2845.0,96.34232330475506,0.0,91,95,99,100,110,120,140,160,310,370,390
GET,/?url=https://www.cnnbrasil.com.br/,28828,0,91,83.07571963370657,1.5516999992541969,374.2197999963537,2843.0,96.33229843673404,0.0,91,95,98,100,110,120,130,160,320,370,370
GET,/?url=https://www.fontshare.com/,28860,0,92,83.88213619540313,1.5495000043301843,377.851199998986,2837.0,96.43923036229167,0.0,92,96,99,100,110,120,140,170,320,340,380
GET,/?url=https://www.unifor.br/,28857,0,91,83.7564685448744,1.5621000056853518,393.63029999367427,2829.0,96.42920549427063,0.0,91,95,99,100,110,120,140,160,300,340,390
GET,/?url=https://www.youtube.com/,28791,0,92,83.10934127678318,1.5358000018750317,353.184899999178,2833.0,96.20865839780801,0.0,92,95,99,100,110,120,140,160,310,340,350
,Aggregated,288379,0,91,84.3677265251625,1.5185000011115335,432.95499999658205,2843.4007573366994,963.6538050120342,0.0,91,96,100,100,120,130,170,190,310,350,430
