Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,30035,0,88,79.18115433660854,1.5483000024687499,336.38190000056056,2851.0,100.18846542551985,0.0,88,91,93,96,110,120,130,140,300,330,340
GET,/?url=https://luccabarroso.com.br/,30116,0,74,88.66566167817545,1.5461000002687797,415.9409999992931,2841.0,100.45865905626621,0.0,74,95,110,130,170,180,200,210,290,340,420
GET,/?url=https://luccabarroso.com.br/pt/animations,30109,0,90,83.90159561592999,1.5463000017916784,350.9716999978991,2867.0,100.43530898941158,0.0,90,95,100,110,110,120,140,160,300,330,350
GET,/?url=https://www.apple.com/br/,30086,0,88,80.19660191782968,1.5524000009463634,352.3425999992469,2835.0,100.35858734117497,0.0,88,92,94,97,110,120,130,150,300,330,350
GET,/?url=https://www.baratocoletivo.com.br/,30074,0,88,80.02195420296631,1.5286999987438321,337.61690000028466,2853.0,100.31855865513846,0.0,88,91,94,97,110,120,130,150,300,320,340
GET,/?url=https://www.bbc.com/portuguese,30073,0,88,79.86523465235376,1.5251000004354864,357.87749999872176,2845.0,100.31522293130209,0.0,88,91,94,97,110,120,130,150,310,330,360
GET,/?url=https://www.cnnbrasil.com.br/,30060,0,88,79.57263023950772,1.5459999995073304,341.0278000010294,2843.0,100.27185852142922,0.0,88,91,94,96,110,120,130,140,300,330,340
GET,/?url=https://www.fontshare.com/,30090,0,88,80.65545171485435,1.5853999975661281,344.1735000014887,2837.0,100.37193023652047,0.0,88,92,95,98,110,120,130,160,300,330,340
GET,/?url=https://www.unifor.br/,30087,0,88,80.5409077674676,1.555999999254709,359.5448000014585,2829.0,100.36192306501134,0.0,88,92,94,97,110,120,140,150,300,330,360
GET,/?url=https://www.youtube.com/,30045,0,88,79.81158693958228,1.5444999989995267,340.0411999973585,2833.0,100.2218226638836,0.0,88,91,94,97,110,120,130,150,300,340,340
,Aggregated,300775,0,88,81.24300831651313,1.5251000004354864,415.9409999992931,2843.401143712077,1003.3023368856578,0.0,88,92,95,99,110,120,170,190,300,330,420
